run number,density,similar-wanted,step,percent-similar
76,40,38,11,86.57351154313487
78,40,38,11,87.689508793208
80,40,38,11,86.80722891566265
79,40,38,18,84.82238966630786
81,40,40,10,86.10421836228288
82,40,40,16,86.23529411764706
83,40,40,12,84.95525727069351
84,40,40,12,87.58577666874609
85,40,40,11,87.17948717948718
86,40,40,10,85.71428571428571
87,40,40,18,89.02900378310214
89,40,42,12,91.2707182320442
88,40,40,12,86.48799553322166
90,40,42,12,91.11531190926276
35,40,28,11,77.30337078651685
91,40,42,15,90.91954022988506
92,40,42,15,89.72640982691233
93,40,42,14,88.99297423887587
95,40,42,13,91.45191703331238
96,40,42,16,90.33957845433255
97,40,44,15,90.56603773584906
98,40,44,12,90.89855072463769
99,40,44,14,92.169373549884
101,40,44,13,89.98156115550093
100,40,44,18,89.1136228435455
102,40,44,20,92.09919261822375
103,40,44,14,92.36151603498543
105,40,46,15,90.2102102102102
106,40,46,14,89.5233106338397
104,40,44,20,91.89686924493554
107,40,46,13,91.61134580567291
109,40,46,12,89.97134670487105
108,40,46,16,90.2696365767878
110,40,46,14,89.27113702623906
111,40,46,13,90.63694267515923
112,40,46,14,89.1566265060241
113,40,48,11,90.24234693877551
114,40,48,12,91.46417445482867
115,40,48,13,91.80907483794932
116,40,48,16,91.1914172783738
117,40,48,12,90.53824362606233
118,40,48,14,89.90486257928119
119,40,48,12,90.51139864448552
120,40,48,10,90.48974943052391
121,40,50,15,90.61797752808988
123,40,50,13,91.79292929292929
122,40,50,15,90.50245098039215
124,40,50,11,90.48171793383634
125,40,50,13,88.99548532731377
126,40,50,12,89.78675645342312
127,40,50,14,91.24087591240875
128,40,50,12,89.99370673379484
129,40,52,24,98.18278995189738
94,40,42,11,89.93362831858407
131,40,52,21,97.11785898095728
130,40,52,28,97.314453125
132,40,52,19,97.36708860759494
134,40,52,16,97.66454352441613
136,40,52,17,97.16055756324212
135,40,52,23,97.47072599531616
133,40,52,24,97.66444232602478
137,40,54,28,97.82608695652173
139,40,54,18,97.5085490962384
138,40,54,24,97.85202863961814
140,40,54,18,97.85000000000001
142,40,54,17,97.34831460674157
141,40,54,23,97.45547073791349
143,40,54,26,97.24630290668026
145,40,56,26,98.48573092603378
144,40,54,24,97.425934919864
146,40,56,25,97.98241076047594
147,40,56,20,98.21882951653944
150,40,56,18,97.76357827476039
151,40,56,17,96.59393294305481
148,40,56,35,97.53203607024204
149,40,56,24,96.53846153846153
152,40,56,21,96.79521998913634
153,40,58,21,97.19626168224299
155,40,58,17,97.99794661190965
154,40,58,20,97.42105263157896
156,40,58,25,97.89303079416531
157,40,58,22,98.32522960561857
159,40,58,19,97.95102448775611
158,40,58,21,96.76344597810566
160,40,58,20,96.74198633736206
161,40,60,21,96.98019801980197
162,40,60,21,97.77188328912467
163,40,60,28,97.40458015267176
164,40,60,23,97.86347055758208
166,40,60,23,97.22909450766947
165,40,60,24,97.021484375
167,40,60,17,96.8515037593985
168,40,60,23,97.3067331670823
169,40,62,24,99.17355371900827
170,40,62,23,98.66856871136471
171,40,62,24,98.8780487804878
172,40,62,24,98.7378640776699
173,40,62,20,98.9795918367347
174,40,62,22,98.7792472024415
175,40,62,24,98.6058981233244
176,40,62,19,98.89705882352942
177,40,64,26,98.73289406994424
178,40,64,22,99.06639004149378
179,40,64,20,98.93401015228427
180,40,64,25,98.99749373433583
182,40,64,24,99.12053802379721
181,40,64,28,99.02011346054668
